Species,Period,Season,Hatchlings,Nests
Chelonia mydas,BS,2010,10177,201
Chelonia mydas,BS,2011,4657,117
Chelonia mydas,BS,2012,3660,144
Chelonia mydas,BS,2013,14326,219
Chelonia mydas,BS,2014,2154,54
Chelonia mydas,AS,2015,61295,830
Chelonia mydas,AS,2016,37916,560
Chelonia mydas,AS,2017,24706,294
Chelonia mydas,AS,2018,23062,380
Chelonia mydas,AS,2019,29004,583
Chelonia mydas,BS,2010,37782,531
Chelonia mydas,BS,2011,32659,438
Chelonia mydas,BS,2012,17010,506
Chelonia mydas,BS,2013,44957,653
Chelonia mydas,BS,2014,29314,491
Chelonia mydas,AS,2015,152884,1647
Chelonia mydas,AS,2016,83339,915
Chelonia mydas,AS,2017,192124,2100
Chelonia mydas,AS,2018,48178,489
Chelonia mydas,AS,2019,182164,1821
Chelonia mydas,BS,2010,110081,1181
Chelonia mydas,BS,2011,75810,1010
Chelonia mydas,BS,2012,115999,1234
Chelonia mydas,BS,2013,188701,1914
Chelonia mydas,BS,2014,74863,778
Chelonia mydas,AS,2015,253548,3692
Chelonia mydas,AS,2016,143150,2141
Chelonia mydas,AS,2017,231942,4187
Chelonia mydas,AS,2018,119432,1595
Chelonia mydas,AS,2019,235582,3536
Chelonia mydas,BS,2010,166942,1820
Chelonia mydas,BS,2011,90474,1114
Chelonia mydas,BS,2012,81415,2294
Chelonia mydas,BS,2013,139241,3140
Chelonia mydas,BS,2014,84758,1499
Chelonia mydas,AS,2015,336804,4592
Chelonia mydas,AS,2016,212833,2387
Chelonia mydas,AS,2017,387985,5744
Chelonia mydas,AS,2018,183381,1924
Chelonia mydas,AS,2019,395255,4405
Chelonia mydas,BS,2010,205828,2455
Chelonia mydas,BS,2011,185693,2097
Chelonia mydas,BS,2012,209620,3376
Chelonia mydas,BS,2013,278142,4016
Chelonia mydas,BS,2014,168555,2027
Chelonia mydas,AS,2015,50071,593
Chelonia mydas,AS,2016,48916,514
Chelonia mydas,AS,2017,88074,1168
Chelonia mydas,AS,2018,32358,365
Chelonia mydas,AS,2019,41181,446
Chelonia mydas,BS,2010,61288,693
Chelonia mydas,BS,2011,52300,567
Chelonia mydas,BS,2012,52462,746
Chelonia mydas,BS,2013,86087,911
Chelonia mydas,BS,2014,35118,392
Chelonia mydas,AS,2015,22186,282
Chelonia mydas,AS,2016,20024,274
Chelonia mydas,AS,2017,25028,602
Chelonia mydas,AS,2018,10070,114
Chelonia mydas,AS,2019,7439,95
Chelonia mydas,BS,2010,20160,220
Chelonia mydas,BS,2011,13524,169
Chelonia mydas,BS,2012,3887,147
Chelonia mydas,BS,2013,12996,130
Chelonia mydas,BS,2014,12859,157
